,Year,Region,Birth_rate,Death_rate,Divorce_rate,Marriage_rate,Natural_growth_rate,Is_Capital,Is_bigcity,순이동률,전입률,전출률
169,2012,Sejong,11.642436974789916,4.931092436974789,1.7823529411764705,6.330252100840336,6.709243697478992,False,False,31.2,58.4,27.2
170,2012,Sejong,11.642436974789916,4.931092436974789,1.7823529411764705,6.330252100840336,6.709243697478992,False,False,31.2,58.4,27.2
171,2012,Sejong,11.642436974789916,4.931092436974789,1.7823529411764705,6.330252100840336,6.709243697478992,False,False,31.2,58.4,27.2
172,2012,Sejong,11.642436974789916,4.931092436974789,1.7823529411764705,6.330252100840336,6.709243697478992,False,False,31.2,58.4,27.2
173,2012,Sejong,11.642436974789916,4.931092436974789,1.7823529411764705,6.330252100840336,6.709243697478992,False,False,31.2,58.4,27.2
174,2012,Sejong,11.642436974789916,4.931092436974789,1.7823529411764705,6.330252100840336,6.709243697478992,False,False,31.2,58.4,27.2
175,2012,Sejong,10.44,7.5,2.5,6.6,3.0,False,False,31.2,58.4,27.2
176,2012,Sejong,10.2,7.9,2.6,4.5,2.3,False,False,31.2,58.4,27.2
177,2012,Sejong,11.04,7.8,1.6,5.4,3.3,False,False,31.2,58.4,27.2
178,2012,Sejong,9.57,8.1,1.7,6.1,1.4,False,False,31.2,58.4,27.2
179,2012,Sejong,11.46,7.4,1.7,8.9,4.0,False,False,31.2,58.4,27.2
180,2012,Seoul,10.25,4.4,1.9,7.0,5.9,True,True,-1.0,15.5,16.5
181,2012,Seoul,9.8,4.7,2.0,6.7,5.1,True,True,-1.0,15.5,16.5
182,2012,Seoul,9.79,4.3,2.0,7.1,5.4,True,True,-1.0,15.5,16.5
183,2012,Seoul,9.32,4.1,1.8,7.3,5.2,True,True,-1.0,15.5,16.5
184,2012,Seoul,8.94,3.9,2.2,7.3,5.0,True,True,-1.0,15.5,16.5
185,2012,Seoul,9.07,3.9,2.0,6.8,5.2,True,True,-1.0,15.5,16.5
186,2012,Seoul,9.19,3.7,2.1,6.2,5.5,True,True,-1.0,15.5,16.5
187,2012,Seoul,9.49,4.1,2.1,6.3,5.4,True,True,-1.0,15.5,16.5
188,2012,Seoul,9.62,3.8,1.9,5.2,5.9,True,True,-1.0,15.5,16.5
189,2012,Seoul,9.41,4.2,1.9,7.3,5.2,True,True,-1.0,15.5,16.5
190,2012,Seoul,9.13,4.0,2.1,8.1,5.1,True,True,-1.0,15.5,16.5
191,2012,Seoul,7.92,4.3,1.9,10.2,3.6,True,True,-1.0,15.5,16.5
192,2012,Ulsan,11.11,4.6,2.3,8.3,6.5,False,True,0.4,14.2,13.9
193,2012,Ulsan,11.24,4.8,2.1,6.8,6.4,False,True,0.4,14.2,13.9
194,2012,Ulsan,11.66,4.3,2.4,6.8,7.4,False,True,0.4,14.2,13.9
195,2012,Ulsan,11.28,3.9,2.3,7.5,7.4,False,True,0.4,14.2,13.9
196,2012,Ulsan,9.89,3.8,2.5,7.0,6.1,False,True,0.4,14.2,13.9
197,2012,Ulsan,9.91,3.8,2.6,6.4,6.1,False,True,0.4,14.2,13.9
198,2012,Ulsan,10.12,3.7,2.6,6.4,6.5,False,True,0.4,14.2,13.9
199,2012,Ulsan,10.96,3.9,2.1,5.9,7.0,False,True,0.4,14.2,13.9
200,2012,Ulsan,11.59,3.8,2.0,4.2,7.8,False,True,0.4,14.2,13.9
201,2012,Ulsan,11.23,3.9,2.2,6.4,7.3,False,True,0.4,14.2,13.9
202,2012,Ulsan,10.96,4.1,2.6,8.8,6.9,False,True,0.4,14.2,13.9
203,2012,Ulsan,8.83,3.8,1.9,9.1,5.0,False,True,0.4,14.2,13.9
204,2012,Whole country,10.57,5.6,2.1,6.9,4.9,False,False,0.0,14.9,14.9
205,2012,Whole country,10.2,6.3,2.4,6.4,3.9,False,False,0.0,14.9,14.9
206,2012,Whole country,10.15,5.6,2.2,6.6,4.5,False,False,0.0,14.9,14.9
207,2012,Whole country,9.73,5.4,2.1,6.7,4.4,False,False,0.0,14.9,14.9
208,2012,Whole country,9.24,5.1,2.4,6.5,4.2,False,False,0.0,14.9,14.9
209,2012,Whole country,9.25,4.9,2.4,6.3,4.3,False,False,0.0,14.9,14.9
210,2012,Whole country,9.41,4.8,2.4,5.7,4.6,False,False,0.0,14.9,14.9
211,2012,Whole country,9.72,5.0,2.3,5.7,4.8,False,False,0.0,14.9,14.9
